Cond	BR	variable	value
WTNut0h	BR2	CD9	1.265
WTNut0h	BR3	CD9	0.731
WTNut1h	BR1	CD9	1.339
WTNut1h	BR2	CD9	1.175
WTNut1h	BR3	CD9	1.129
WTNut10h	BR1	CD9	3.862
WTNut10h	BR2	CD9	2.357
WTNut10h	BR3	CD9	1.9
KDNut0h	BR1	CD9	0.976
KDNut0h	BR2	CD9	1.1
KDNut0h	BR3	CD9	0.931
KDNut1h	BR1	CD9	0.861
KDNut1h	BR2	CD9	1.115
KDNut1h	BR3	CD9	0.626
KDNut10h	BR1	CD9	1.755
KDNut10h	BR2	CD9	1.403
KDNut10h	BR3	CD9	1.12
WTNut0h	BR1	CDKN1A	1.022
WTNut0h	BR2	CDKN1A	0.97
WTNut0h	BR3	CDKN1A	1.009
WTNut1h	BR1	CDKN1A	2.741
WTNut1h	BR2	CDKN1A	1.694
WTNut1h	BR3	CDKN1A	1.86
WTNut10h	BR1	CDKN1A	29.337
WTNut10h	BR2	CDKN1A	23.759
WTNut10h	BR3	CDKN1A	19.428
KDNut0h	BR1	CDKN1A	0.889
KDNut0h	BR2	CDKN1A	1.035
KDNut0h	BR3	CDKN1A	1.087
KDNut1h	BR1	CDKN1A	1.473
KDNut1h	BR2	CDKN1A	1.091
KDNut1h	BR3	CDKN1A	1.132
KDNut10h	BR1	CDKN1A	15.865
KDNut10h	BR2	CDKN1A	13.017
KDNut10h	BR3	CDKN1A	11.369
WTNut0h	BR1	TP53	1.09
WTNut0h	BR2	TP53	0.928
WTNut0h	BR3	TP53	0.989
WTNut1h	BR1	TP53	0.765
WTNut1h	BR2	TP53	0.483
WTNut1h	BR3	TP53	0.689
WTNut10h	BR1	TP53	2.025
WTNut10h	BR2	TP53	0.9
WTNut10h	BR3	TP53	1.146
KDNut0h	BR1	TP53	0.94
KDNut0h	BR2	TP53	0.888
KDNut0h	BR3	TP53	1.197
KDNut1h	BR1	TP53	0.694
KDNut1h	BR2	TP53	0.418
KDNut1h	BR3	TP53	0.519
KDNut10h	BR1	TP53	1.445
KDNut10h	BR2	TP53	1.216
KDNut10h	BR3	TP53	1.473
WTNut0h	BR1	TGFA	0.842
WTNut0h	BR2	TGFA	1.221
WTNut0h	BR3	TGFA	0.972
WTNut1h	BR1	TGFA	1.723
WTNut1h	BR2	TGFA	1.222
WTNut1h	BR3	TGFA	1.405
WTNut10h	BR1	TGFA	8.555
WTNut10h	BR2	TGFA	5.617
WTNut10h	BR3	TGFA	4.813
KDNut0h	BR1	TGFA	1.015
KDNut0h	BR2	TGFA	1.145
KDNut0h	BR3	TGFA	0.86
KDNut1h	BR1	TGFA	1.276
KDNut1h	BR2	TGFA	1.549
KDNut1h	BR3	TGFA	1.205
KDNut10h	BR1	TGFA	4.741
KDNut10h	BR2	TGFA	4.156
KDNut10h	BR3	TGFA	2.543
WTNut0h	BR1	BAX	1.134
WTNut0h	BR2	BAX	0.854
WTNut0h	BR3	BAX	1.032
WTNut1h	BR1	BAX	2.696
WTNut1h	BR2	BAX	2.073
WTNut1h	BR3	BAX	2.871
WTNut10h	BR1	BAX	9.595
WTNut10h	BR2	BAX	5.886
WTNut10h	BR3	BAX	6.361
KDNut0h	BR1	BAX	1.046
KDNut0h	BR2	BAX	0.91
KDNut0h	BR3	BAX	1.05
KDNut1h	BR1	BAX	2.217
KDNut1h	BR2	BAX	1.674
KDNut1h	BR3	BAX	1.666
KDNut10h	BR1	BAX	9.947
KDNut10h	BR2	BAX	10.273
KDNut10h	BR3	BAX	10.27
